nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
SETUP_MERCADO,SETUP_MERCADO|INDEFINIDO+REACCIÓN_ZONA+ZONA_RECHAZO_CONFIRMADO|MERCADO_NORMAL+TENDENCIA_BAJISTA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,MANAUSD-OTC,put,REACCIÓN_ZONA,TENDENCIA,BAJISTA_NORMAL,IMPULSO_BAJISTA_MEDIO+RECHAZO_VENDEDOR_CONFIRMADO+RECHAZO_VENDEDOR_HISTORICO,MERCADO_NORMAL+TENDENCIA_BAJISTA,,
PA_SETUP_MERCADO,PA_SETUP_MERCADO|IMPULSO_BAJISTA_MEDIO+RECHAZO_VENDEDOR_CONFIRMADO+RECHAZO_VENDEDOR_HISTORICO|INDEFINIDO+REACCIÓN_ZONA+ZONA_RECHAZO_CONFIRMADO|MERCADO_NORMAL+TENDENCIA_BAJISTA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,MANAUSD-OTC,put,REACCIÓN_ZONA,TENDENCIA,BAJISTA_NORMAL,IMPULSO_BAJISTA_MEDIO+RECHAZO_VENDEDOR_CONFIRMADO+RECHAZO_VENDEDOR_HISTORICO,MERCADO_NORMAL+TENDENCIA_BAJISTA,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|BAJISTA_NORMAL+IMPULSO_BAJISTA_MEDIO+MERCADO_NORMAL+PUT+REACCIÓN_ZONA+RECHAZO_VENDEDOR_CONFIRMADO+RECHAZO_VENDEDOR_HISTORICO+TENDENCIA+TENDENCIA_BAJISTA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,MANAUSD-OTC,put,REACCIÓN_ZONA,TENDENCIA,BAJISTA_NORMAL,IMPULSO_BAJISTA_MEDIO+RECHAZO_VENDEDOR_CONFIRMADO+RECHAZO_VENDEDOR_HISTORICO,MERCADO_NORMAL+TENDENCIA_BAJISTA,,
PA_SETUP_MERCADO,PA_SETUP_MERCADO|IMPULSO_BAJISTA_FUERTE|CONTINUACION+CONTINUACIÓN+PULLBACK_GENERICO|MERCADO_NORMAL+TENDENCIA_BAJISTA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,LUNA-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,IMPULSO_BAJISTA_FUERTE,MERCADO_NORMAL+TENDENCIA_BAJISTA,,
SETUP_MERCADO,SETUP_MERCADO|REVERSIÓN+SWEEP_BAJISTA+SWEEP_RUPTURA_CONFIRMABLE|MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_ALCISTA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,NZDCHF-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_NORMAL,,MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_ALCISTA,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|ALCISTA_NORMAL+MERCADO_LIMPIO+PUT+REVERSIÓN+SCORE_MERCADO_ALTO+TENDENCIA+TENDENCIA_ALCISTA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,NZDCHF-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_NORMAL,,MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_ALCISTA,,
PA_SETUP_MERCADO,PA_SETUP_MERCADO|IMPULSO_ALCISTA_FUERTE|CONTINUACION+CONTINUACIÓN+PULLBACK_GENERICO|MERCADO_NORMAL+TENDENCIA_ALCISTA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,MANAUSD-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_NORMAL,IMPULSO_ALCISTA_FUERTE,MERCADO_NORMAL+TENDENCIA_ALCISTA,,
CONTEXTO_PA,CONTEXTO_PA|PUT|REACCIÓN_ZONA|IMPULSO_BAJISTA_MEDIO|TENDENCIA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,MANAUSD-OTC,put,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,IMPULSO_BAJISTA_MEDIO,MERCADO_NORMAL+TENDENCIA_ALCISTA,,
CLAVE_ESPECIFICA,CLAVE_ESPECIFICA|MANAUSD-OTC|PUT|REACCIÓN_ZONA|TENDENCIA|ALCISTA_NORMAL,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,MANAUSD-OTC,put,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,IMPULSO_BAJISTA_MEDIO,MERCADO_NORMAL+TENDENCIA_ALCISTA,,
PA_SETUP,PA_SETUP|IMPULSO_BAJISTA_MEDIO|REACCIÓN_ZONA+RECHAZO_BAJISTA+ZONA_GENERICA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,MANAUSD-OTC,put,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,IMPULSO_BAJISTA_MEDIO,MERCADO_NORMAL+TENDENCIA_ALCISTA,,
