tipo,activo,fecha,direccion,patron,puntaje,prioridad,score_final,calidad,rsi,tipo_mercado,calidad_mercado,score_mercado,estado_tendencia,score_filtro,resultado,precio_entrada,precio_cierre
binary,NZDJPY-OTC,1782058560,put,CHOCH bajista,18,3,127,A,38.69,RANGO,NORMAL,71,BAJISTA_NORMAL,101,LOSS,92.305715,92.338915
binary,ICPUSD-OTC,1782059220,put,CHOCH bajista,19,3,129,A,37.48,TENDENCIA_BAJISTA,NORMAL,58,BAJISTA_FUERTE,118,LOSS,2.122795,2.123775
binary,GS-OTC,1782059580,call,CHOCH alcista,20,3,131,A,57.07,TENDENCIA_ALCISTA,NORMAL,65,ALCISTA_FUERTE,125,LOSS,1144.2505,1143.4825
binary,INTEL-OTC,1782059580,put,CHOCH bajista,19,3,129,A,44.82,TENDENCIA_BAJISTA,NORMAL,63,BAJISTA_NORMAL,113,LOSS,118.5165,118.8605
binary,TAOUSD-OTC,1782059760,put,reacción vendedora en resistencia,18,4,132,A+,46.81,TENDENCIA_BAJISTA,NORMAL,58,BAJISTA_NORMAL,108,LOSS,232.928995,233.645375
binary,DXY,1781887680,put,reacción vendedora en resistencia,18,4,132,A+,54.51,TENDENCIA_ALCISTA,NORMAL,63,ALCISTA_NORMAL,108,WIN,100.801995,100.797375
binary,LINKUSD-OTC,1782060900,put,CHOCH bajista,18,3,127,A,38.99,TENDENCIA_BAJISTA,NORMAL,69,BAJISTA_FUERTE,129,WIN,6.204485,6.185435
binary,MU-OTC,1782061920,call,reacción compradora en soporte,18,4,132,A+,40.33,TENDENCIA_BAJISTA,LIMPIO,80,BAJISTA_FUERTE,150,LOSS,1259.658735,1258.225575
binary,MELANIAUSD-OTC,1782061980,call,reacción compradora en soporte,20,4,136,A+,32.8,TENDENCIA_BAJISTA,NORMAL,59,BAJISTA_NORMAL,109,LOSS,0.073775,0.073725
binary,USDINR-OTC,1782062460,call,CHOCH alcista,18,3,127,A,57.47,TENDENCIA_ALCISTA,NORMAL,59,ALCISTA_NORMAL,109,WIN,95.4075,95.4175
binary,CITI-OTC,1782063360,put,CHOCH bajista,18,3,127,A,46.07,TENDENCIA_BAJISTA,NORMAL,68,BAJISTA_NORMAL,118,WIN,154.3575,153.2655
binary,CITI-OTC,1782063540,call,reacción compradora en soporte,20,4,136,A+,38.23,TENDENCIA_BAJISTA,NORMAL,70,BAJISTA_NORMAL,120,LOSS,152.8355,151.7845
binary,NZDJPY-OTC,1782063240,call,CHOCH alcista,18,3,127,A,48.14,RANGO,NORMAL,65,ALCISTA_NORMAL,95,WIN,92.322465,92.372435
binary,ORDIUSD-OTC,1782064080,put,CHOCH bajista,19,3,129,A,38.62,TENDENCIA_BAJISTA,NORMAL,62,BAJISTA_NORMAL,112,WIN,3.191905,3.189435
binary,MANAUSD-OTC,1782063960,put,CHOCH bajista,18,3,127,A,43.11,TENDENCIA_BAJISTA,NORMAL,64,BAJISTA_NORMAL,114,LOSS,0.091105,0.091185
binary,CITI-OTC,1782064440,put,CHOCH bajista,19,3,129,A,42.16,TENDENCIA_BAJISTA,NORMAL,62,BAJISTA_FUERTE,122,LOSS,150.1895,150.8105
binary,LUNA-OTC,1782064620,put,reacción vendedora en resistencia,18,3,127,A+,68.5,TENDENCIA_ALCISTA,NORMAL,59,ALCISTA_NORMAL,109,WIN,0.069815,0.069585
binary,USDCHF-OTC,1782064800,put,CHOCH bajista,18,3,127,A,44.24,TENDENCIA_BAJISTA,NORMAL,61,BAJISTA_NORMAL,111,WIN,0.808365,0.808305
binary,NZDCAD-OTC,1782065460,call,CHOCH alcista,18,3,127,A,54.28,TENDENCIA_ALCISTA,LIMPIO,81,ALCISTA_FUERTE,151,WIN,0.807335,0.807705
binary,ATOMUSD-OTC,1782065940,call,CHOCH alcista,19,3,129,A,58.66,TENDENCIA_ALCISTA,NORMAL,63,ALCISTA_FUERTE,123,WIN,1.869165,1.877945
binary,ORDIUSD-OTC,1782066240,call,reacción compradora en soporte,18,4,132,A+,41.25,TENDENCIA_BAJISTA,NORMAL,71,BAJISTA_NORMAL,121,LOSS,3.127525,3.111125
binary,EURCAD-OTC,1782066540,put,CHOCH bajista,18,3,127,A,45.11,TENDENCIA_BAJISTA,NORMAL,70,BAJISTA_FUERTE,130,LOSS,1.630875,1.631525
binary,GBPCAD-OTC,1782066600,call,CHOCH alcista,18,3,127,A,51.77,TENDENCIA_ALCISTA,NORMAL,74,ALCISTA_DEBIL,109,LOSS,1.889345,1.888475
binary,COFFEE-OTC,1782067200,put,CHOCH bajista,19,3,129,A,36.14,TENDENCIA_BAJISTA,NORMAL,62,BAJISTA_NORMAL,112,LOSS,255.775455,256.225065
binary,MELANIAUSD-OTC,1782067380,put,CHOCH bajista,18,3,127,A,44.44,TENDENCIA_BAJISTA,NORMAL,65,BAJISTA_NORMAL,115,LOSS,0.075905,0.075995
binary,XPDUSD-OTC,1782067680,put,CHOCH bajista,19,3,129,A,36.35,TENDENCIA_BAJISTA,NORMAL,62,BAJISTA_NORMAL,112,LOSS,1391.3985,1394.0255
turbo,AMAZON-OTC,1782068040,call,reacción compradora en soporte,18,4,132,A+,49.39,TENDENCIA_BAJISTA,NORMAL,59,BAJISTA_NORMAL,109,WIN,242.915155,243.081045
binary,XPDUSD-OTC,1782068040,call,CHOCH alcista,18,3,127,A,57.87,TENDENCIA_ALCISTA,NORMAL,64,ALCISTA_NORMAL,114,LOSS,1426.6965,1420.5775
binary,COKE-OTC,1782068640,put,CHOCH bajista,18,3,127,A,45.93,TENDENCIA_BAJISTA,NORMAL,64,BAJISTA_FUERTE,124,LOSS,61.2255,61.2735
binary,LUNA-OTC,1782068760,call,CHOCH alcista,20,3,131,A,56.25,TENDENCIA_ALCISTA,NORMAL,63,ALCISTA_NORMAL,113,WIN,0.070115,0.070405
binary,AUDCAD-OTC,1782068940,call,CHOCH alcista,18,3,127,A,57.07,TENDENCIA_ALCISTA,NORMAL,74,ALCISTA_DEBIL,109,WIN,0.986365,0.986465
binary,PENUSD-OTC,1782069660,call,CHOCH alcista,18,3,127,A,56.5,TENDENCIA_ALCISTA,NORMAL,66,ALCISTA_NORMAL,116,WIN,0.198475,0.199855
binary,AUDCAD-OTC,1782069840,call,CHOCH alcista,19,3,129,A,52.54,TENDENCIA_ALCISTA,NORMAL,63,ALCISTA_FUERTE,123,WIN,0.986585,0.986855
binary,USDCLP-OTC,1782071700,put,CHOCH bajista,18,3,127,A,48.32,TENDENCIA_BAJISTA,LIMPIO,76,BAJISTA_FUERTE,146,LOSS,846.74015,847.12725
binary,SUGAR-OTC,1782072000,put,CHOCH bajista,18,3,127,A,36.29,TENDENCIA_BAJISTA,NORMAL,64,BAJISTA_NORMAL,114,LOSS,13.816795,13.995365
binary,MU-OTC,1782072660,put,CHOCH bajista,18,3,127,A,40.82,TENDENCIA_BAJISTA,NORMAL,63,BAJISTA_NORMAL,113,LOSS,1147.362705,1149.221015
binary,NZDCAD-OTC,1782072840,put,CHOCH bajista,18,3,127,A,38.71,TENDENCIA_BAJISTA,NORMAL,59,BAJISTA_NORMAL,109,LOSS,0.808965,0.808985
turbo,ARBUSD-OTC,1782073800,put,CHOCH bajista,18,3,127,A,38.16,TENDENCIA_BAJISTA,NORMAL,70,BAJISTA_FUERTE,130,LOSS,0.077805,0.078005
binary,EURCHF-OTC,1782073620,call,CHOCH alcista,20,3,131,A,56.81,TENDENCIA_ALCISTA,NORMAL,66,ALCISTA_NORMAL,116,LOSS,0.925745,0.925335
binary,LABUBUUSD-OTC,1782073800,put,CHOCH bajista,18,3,127,A,50.83,TENDENCIA_BAJISTA,NORMAL,65,BAJISTA_NORMAL,115,WIN,0.590795,0.590665
binary,USNDAQ100-OTC,1782073800,put,CHOCH bajista,18,3,127,A,46.2,TENDENCIA_BAJISTA,NORMAL,72,BAJISTA_DEBIL,107,LOSS,29886.061005,29895.485165
binary,USDVND-OTC,1782074400,put,CHOCH bajista,18,3,127,A,37.96,TENDENCIA_BAJISTA,NORMAL,68,BAJISTA_FUERTE,128,WIN,26252.39695,26251.75165
binary,USDPLN-OTC,1782075060,put,CHOCH bajista,18,3,127,A,45.52,TENDENCIA_BAJISTA,NORMAL,69,BAJISTA_DEBIL,104,LOSS,3.728115,3.729845
binary,TONUSD-OTC,1782075540,put,reacción vendedora en resistencia,18,4,132,A+,68.5,TENDENCIA_ALCISTA,NORMAL,61,ALCISTA_FUERTE,121,LOSS,1.741975,1.744085
binary,TIAUSD-OTC,1782076020,put,CHOCH bajista,18,3,127,A,36.61,TENDENCIA_BAJISTA,NORMAL,58,BAJISTA_NORMAL,108,WIN,0.296985,0.295865
binary,CADCHF-OTC,1782076200,put,CHOCH bajista,18,3,127,A,54.17,TENDENCIA_BAJISTA,NORMAL,60,BAJISTA_NORMAL,110,LOSS,0.566535,0.566595
binary,EURGBP-OTC,1782077100,call,CHOCH alcista,18,3,127,A,56.95,TENDENCIA_ALCISTA,NORMAL,64,ALCISTA_NORMAL,114,WIN,0.864935,0.865145
binary,OpenAI-OTC,1782077280,put,CHOCH bajista,18,3,127,A,42.45,TENDENCIA_BAJISTA,NORMAL,61,BAJISTA_NORMAL,111,WIN,1414.273615,1413.927085
binary,USDMXN-OTC,1782077940,call,reacción compradora en soporte,18,3,127,A+,31.61,TENDENCIA_BAJISTA,NORMAL,60,BAJISTA_FUERTE,120,LOSS,17.111975,17.110405
binary,EURUSD-OTC,1782078120,put,CHOCH bajista,18,3,127,A,41.48,TENDENCIA_BAJISTA,NORMAL,70,BAJISTA_FUERTE,130,WIN,1.149145,1.149135
binary,AMAZON-OTC,1782079260,call,reacción compradora en soporte,18,4,132,A+,32.57,TENDENCIA_BAJISTA,NORMAL,61,BAJISTA_NORMAL,111,WIN,243.048945,243.119765
binary,WIFUSD-OTC,1782079440,put,CHOCH bajista,18,3,127,A,47.86,TENDENCIA_BAJISTA,NORMAL,69,BAJISTA_DEBIL,104,LOSS,0.170805,0.171105
binary,GEV-OTC,1782079980,call,CHOCH alcista,18,3,127,A,57.19,TENDENCIA_ALCISTA,NORMAL,66,ALCISTA_NORMAL,116,LOSS,1110.647855,1106.539095
binary,EXY,1782080460,call,CHOCH alcista,18,3,127,A,59.8,TENDENCIA_ALCISTA,NORMAL,74,ALCISTA_NORMAL,119,LOSS,117.779205,117.775035
binary,USDMXN-OTC,1782081360,call,CHOCH alcista,19,3,129,A,54.98,TENDENCIA_ALCISTA,NORMAL,67,ALCISTA_FUERTE,127,WIN,17.116535,17.118075
binary,COTTON-OTC,1782081600,put,CHOCH bajista,19,3,129,A,42.7,TENDENCIA_BAJISTA,NORMAL,68,BAJISTA_FUERTE,128,LOSS,79.508005,79.508745
binary,USDMXN-OTC,1782081540,call,CHOCH alcista,18,3,127,A,58.24,TENDENCIA_ALCISTA,NORMAL,74,ALCISTA_NORMAL,124,LOSS,17.118625,17.111595
binary,USDDOP-OTC,1782083100,call,CHOCH alcista,18,3,127,A,54.0,TENDENCIA_ALCISTA,NORMAL,68,ALCISTA_NORMAL,118,WIN,58.78985,58.79625
binary,NZDCAD-OTC,1782082920,call,reacción compradora en soporte,18,4,132,A+,31.55,TENDENCIA_BAJISTA,LIMPIO,77,BAJISTA_FUERTE,147,WIN,0.802995,0.803195
binary,JPM-OTC,1782083160,call,reacción compradora en soporte,22,4,150,A+,41.94,TENDENCIA_BAJISTA,NORMAL,64,BAJISTA_FUERTE,124,LOSS,316.2115,315.6255
binary,GBPJPY-OTC,1782084600,put,CHOCH bajista,18,3,127,A,39.59,TENDENCIA_BAJISTA,NORMAL,72,BAJISTA_NORMAL,122,LOSS,220.922135,220.964005
binary,LTCUSD-OTC,1782084300,put,CHOCH bajista,18,3,127,A,45.64,TENDENCIA_BAJISTA,NORMAL,67,BAJISTA_NORMAL,117,WIN,45.367405,45.338675
turbo,AIG-OTC,1782085200,put,CHOCH bajista,18,3,127,A,39.62,TENDENCIA_BAJISTA,NORMAL,68,BAJISTA_FUERTE,128,LOSS,73.0445,73.0975
binary,AIG-OTC,1782085200,put,CHOCH bajista,18,3,127,A,39.62,TENDENCIA_BAJISTA,NORMAL,68,BAJISTA_FUERTE,128,LOSS,73.0445,73.0975
binary,ICPUSD-OTC,1782085260,call,CHOCH alcista,18,3,127,A,60.29,TENDENCIA_ALCISTA,NORMAL,61,ALCISTA_NORMAL,111,LOSS,2.189885,2.186055
binary,TONUSD-OTC,1782085440,put,CHOCH bajista,18,3,127,A,41.58,TENDENCIA_BAJISTA,NORMAL,66,BAJISTA_NORMAL,116,LOSS,1.745325,1.745805
binary,NZDUSD-OTC,1782085920,call,CHOCH alcista,18,3,127,A,58.13,TENDENCIA_ALCISTA,NORMAL,66,ALCISTA_FUERTE,126,LOSS,0.723175,0.722725
binary,SUGAR-OTC,1782085860,put,reacción vendedora en resistencia,22,4,150,A+,66.3,TENDENCIA_ALCISTA,NORMAL,58,ALCISTA_NORMAL,108,WIN,14.262965,14.022995
binary,SNDK-OTC,1782086400,put,CHOCH bajista,19,3,129,A,43.62,TENDENCIA_BAJISTA,NORMAL,64,BAJISTA_FUERTE,124,WIN,2158.017915,2155.242945
binary,MORSTAN-OTC,1782086820,call,CHOCH alcista,18,3,127,A,55.46,TENDENCIA_ALCISTA,NORMAL,59,ALCISTA_NORMAL,109,WIN,223.9165,223.9945
binary,ATOMUSD-OTC,1782087540,put,reacción vendedora en resistencia,18,3,127,A+,68.36,TENDENCIA_ALCISTA,NORMAL,58,ALCISTA_FUERTE,118,LOSS,2.019065,2.020025
binary,GER30-OTC,1782087720,put,CHOCH bajista,20,3,131,A,36.45,TENDENCIA_BAJISTA,NORMAL,70,BAJISTA_FUERTE,130,WIN,25033.313745,25023.179815
binary,SNAP-OTC,1782087840,put,CHOCH bajista,18,3,127,A,49.84,TENDENCIA_BAJISTA,NORMAL,73,BAJISTA_NORMAL,123,LOSS,12.6185,12.9925
binary,JPM-OTC,1782088200,call,CHOCH alcista,18,3,127,A,59.32,TENDENCIA_ALCISTA,NORMAL,71,ALCISTA_NORMAL,121,LOSS,318.5845,318.5735
binary,DXY,1782088440,call,CHOCH alcista,18,3,127,A,60.1,TENDENCIA_ALCISTA,NORMAL,61,ALCISTA_NORMAL,106,LOSS,100.860565,100.858225
binary,LINKUSD-OTC,1782088740,put,CHOCH bajista,20,3,131,A,47.14,TENDENCIA_BAJISTA,NORMAL,65,BAJISTA_NORMAL,115,LOSS,8.006265,8.013005
binary,CHFJPY-OTC,1782088920,put,CHOCH bajista,18,3,127,A,37.32,TENDENCIA_BAJISTA,NORMAL,65,BAJISTA_NORMAL,115,WIN,202.7145,202.7105
binary,USDPHP-OTC,1782088800,call,CHOCH alcista,21,4,144,A+,52.3,TENDENCIA_ALCISTA,NORMAL,63,ALCISTA_NORMAL,113,LOSS,60.27355,60.24785
