nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
ACTIVO_FAMILIA,ACTIVO_FAMILIA|HK33-OTC|CONTINUACIÓN,16,8,8,50.0,0.0,NEUTRO,BAJA,49.58,33.47,65.69,True,16,50.0,60.0,40.0,20.0,-10.0,2,0.667,HK33-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|LTCUSD-OTC|REVERSIÓN,16,7,9,43.75,-1.54,DEBIL,BAJA,46.81,30.73,62.88,True,16,50.0,60.0,20.0,40.0,-30.0,1,0.333,LTCUSD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|PUT|REACCIÓN_ZONA|TENDENCIA|BAJISTA_NORMAL,16,4,12,25.0,-2.85,DEBIL,BAJA,38.47,22.8,54.15,True,16,33.33,20.0,20.0,13.33,-13.33,3,1.0,US2000-OTC,put,REACCIÓN_ZONA,TENDENCIA,BAJISTA_NORMAL,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|BAJISTA_NORMAL+PUT+REACCIÓN_ZONA+TENDENCIA,16,4,12,25.0,-2.85,DEBIL,BAJA,38.47,22.8,54.15,True,16,33.33,20.0,20.0,13.33,-13.33,3,1.0,US2000-OTC,put,REACCIÓN_ZONA,TENDENCIA,BAJISTA_NORMAL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|PUT|REVERSIÓN|TENDENCIA|ALCISTA_FUERTE,15,10,5,66.67,1.88,FAVORABLE,BAJA,56.71,40.53,72.9,True,15,60.0,80.0,60.0,20.0,0.0,3,1.0,USDMXN-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_FUERTE,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN|ALCISTA_FUERTE,15,10,5,66.67,1.88,FAVORABLE,BAJA,56.71,40.53,72.9,True,15,60.0,80.0,60.0,20.0,0.0,3,1.0,USDMXN-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_FUERTE,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|ALCISTA_FUERTE+PUT+REVERSIÓN+TENDENCIA,15,10,5,66.67,1.88,FAVORABLE,BAJA,56.71,40.53,72.9,True,15,60.0,80.0,60.0,20.0,0.0,3,1.0,USDMXN-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_FUERTE,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|USDMXN-OTC|CALL,15,8,7,53.33,0.0,NEUTRO,BAJA,51.0,34.67,67.33,True,15,40.0,60.0,60.0,20.0,20.0,2,0.667,USDMXN-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|PUT|CONTINUACIÓN|TENDENCIA|BAJISTA_DEBIL,15,8,7,53.33,0.0,NEUTRO,BAJA,51.0,34.67,67.33,True,15,60.0,60.0,40.0,20.0,-20.0,2,0.667,US2000-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_DEBIL,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|CONTINUACIÓN|BAJISTA_DEBIL,15,8,7,53.33,0.0,NEUTRO,BAJA,51.0,34.67,67.33,True,15,60.0,60.0,40.0,20.0,-20.0,2,0.667,US2000-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_DEBIL,,,,
