nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|CONTINUACIÓN|BAJISTA_NORMAL,92,47,45,51.09,0.0,NEUTRO,ALTA,50.76,41.54,59.98,True,92,41.94,61.29,50.0,19.35,8.06,2,0.667,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|BAJISTA_NORMAL+CONTINUACIÓN+PUT+TENDENCIA,92,47,45,51.09,0.0,NEUTRO,ALTA,50.76,41.54,59.98,True,92,41.94,61.29,50.0,19.35,8.06,2,0.667,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|COFFEE-OTC|CALL,91,40,51,43.96,-2.65,DEBIL,ALTA,44.91,35.7,54.12,True,91,54.84,36.67,40.0,18.17,-14.84,2,0.667,COFFEE-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|NZDJPY-OTC|CALL,89,45,44,50.56,0.0,NEUTRO,ALTA,50.32,40.98,59.66,True,89,60.0,53.33,37.93,22.07,-22.07,2,0.667,NZDJPY-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_DEBIL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|REVERSIÓN+SWEEP_ALCISTA+SWEEP_CON_RECHAZO_AGOTAMIENTO,85,46,39,54.12,0.0,NEUTRO,ALTA,53.19,43.69,62.69,True,85,58.62,46.43,57.14,12.19,-1.48,2,0.667,LTCUSD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|MANAUSD-OTC|CALL,85,37,48,43.53,-2.71,DEBIL,ALTA,44.62,35.16,54.08,True,85,41.38,32.14,57.14,25.0,15.76,2,0.667,MANAUSD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|US2000-OTC|CALL,85,37,48,43.53,-2.71,DEBIL,ALTA,44.62,35.16,54.08,True,85,48.28,39.29,42.86,8.99,-5.42,3,1.0,US2000-OTC,call,REVERSIÓN,RANGO,INDEFINIDA,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN_ESTRUCTURAL|BAJISTA_NORMAL,84,45,39,53.57,0.0,NEUTRO,ALTA,52.74,43.19,62.29,True,84,67.86,42.86,50.0,25.0,-17.86,2,0.667,AIG-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA,BAJISTA_NORMAL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA|BAJISTA_NORMAL,83,45,38,54.22,0.0,NEUTRO,ALTA,53.25,43.66,62.84,True,83,67.86,46.43,48.15,21.43,-19.71,1,0.333,AIG-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA,BAJISTA_NORMAL,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|BAJISTA_NORMAL+PUT+REVERSIÓN_ESTRUCTURAL+TENDENCIA,83,45,38,54.22,0.0,NEUTRO,ALTA,53.25,43.66,62.84,True,83,67.86,46.43,48.15,21.43,-19.71,1,0.333,AIG-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA,BAJISTA_NORMAL,,,,
