clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,activo,direccion,familia_setup,tipo_mercado,estado_tendencia
SPACEX-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SpaceX-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
CASINOS-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
CASINOS-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,put,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_FUERTE
USDBDT-OTC|PUT|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDBDT-OTC,put,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_DEBIL
USDBDT-OTC|CALL|REVERSIÓN_ESTRUCTURAL|TENDENCIA_ALCISTA|ALCISTA_NORMAL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDBDT-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA_ALCISTA,ALCISTA_NORMAL
EURGBP-OTC|CALL|REVERSIÓN|RANGO|BAJISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,EURGBP-OTC,call,REVERSIÓN,RANGO,BAJISTA_DEBIL
SNDK-OTC|PUT|REACCIÓN_ZONA|RANGO|ALCISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SNDK-OTC,put,REACCIÓN_ZONA,RANGO,ALCISTA_DEBIL
JUPUSD-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,JUPUSD-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
USDPHP-OTC|CALL|REVERSIÓN|RANGO|BAJISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPHP-OTC,call,REVERSIÓN,RANGO,BAJISTA_DEBIL
MU-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,MU-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_FUERTE
USDBDT-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_AGOTADA,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDBDT-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_AGOTADA
SPACEX-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_BAJISTA|BAJISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SpaceX-OTC,put,REACCIÓN_ZONA,TENDENCIA_BAJISTA,BAJISTA_FUERTE
CASINOS-OTC|CALL|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,call,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_FUERTE
USDBDT-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_BAJISTA|BAJISTA_NORMAL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDBDT-OTC,put,REACCIÓN_ZONA,TENDENCIA_BAJISTA,BAJISTA_NORMAL
ONDOUSD-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,ONDOUSD-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
USDSEK-OTC|CALL|REVERSIÓN|RANGO|ALCISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDSEK-OTC,call,REVERSIÓN,RANGO,ALCISTA_DEBIL
RENDERUSD-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_NORMAL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,RENDERUSD-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_NORMAL
SPACEX-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SpaceX-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_DEBIL
ONDOUSD-OTC|PUT|REVERSIÓN|RANGO|BAJISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,ONDOUSD-OTC,put,REVERSIÓN,RANGO,BAJISTA_DEBIL
ONDOUSD-OTC|CALL|REVERSIÓN|RANGO|ALCISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,ONDOUSD-OTC,call,REVERSIÓN,RANGO,ALCISTA_DEBIL
USDPHP-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_BAJISTA|BAJISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPHP-OTC,put,REACCIÓN_ZONA,TENDENCIA_BAJISTA,BAJISTA_DEBIL
SUGAR-OTC|PUT|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,put,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_DEBIL
SUGAR-OTC|CALL|REVERSIÓN|RANGO|ALCISTA_NORMAL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,call,REVERSIÓN,RANGO,ALCISTA_NORMAL
ONDOUSD-OTC|CALL|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_NORMAL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,ONDOUSD-OTC,call,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_NORMAL
MU-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,MU-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_FUERTE
RENDERUSD-OTC|CALL|REVERSIÓN_ESTRUCTURAL|TENDENCIA_ALCISTA|ALCISTA_NORMAL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,RENDERUSD-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA_ALCISTA,ALCISTA_NORMAL
ONDOUSD-OTC|CALL|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,ONDOUSD-OTC,call,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_FUERTE
CARDANO-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_BAJISTA|BAJISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CARDANO-OTC,put,REACCIÓN_ZONA,TENDENCIA_BAJISTA,BAJISTA_FUERTE
USDMYR-OTC|CALL|REVERSIÓN|RANGO|BAJISTA_NORMAL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDMYR-OTC,call,REVERSIÓN,RANGO,BAJISTA_NORMAL
SUGAR-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_NORMAL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,put,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_NORMAL
USDMYR-OTC|PUT|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDMYR-OTC,put,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
SNDK-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_BAJISTA|BAJISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SNDK-OTC,put,REACCIÓN_ZONA,TENDENCIA_BAJISTA,BAJISTA_DEBIL
USDPLN-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_AGOTADA,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPLN-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_AGOTADA
CARDANO-OTC|CALL|REVERSIÓN_ESTRUCTURAL|TENDENCIA_ALCISTA|ALCISTA_NORMAL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CARDANO-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA_ALCISTA,ALCISTA_NORMAL
USDBDT-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDBDT-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_DEBIL
MU-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,MU-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
MU-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,MU-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
HYPE-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_BAJISTA|BAJISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,HYPE-OTC,put,REACCIÓN_ZONA,TENDENCIA_BAJISTA,BAJISTA_FUERTE
SUGAR-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_FUERTE
JUPUSD-OTC|PUT|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,JUPUSD-OTC,put,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
RENDERUSD-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,RENDERUSD-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
SUGAR-OTC|CALL|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,call,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_FUERTE
EURGBP-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,EURGBP-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_FUERTE
SUGAR-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_DEBIL
CASINOS-OTC|CALL|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,call,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_DEBIL
CARDANO-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CARDANO-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
HYPE-OTC|PUT|REVERSIÓN|RANGO|ALCISTA_NORMAL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,HYPE-OTC,put,REVERSIÓN,RANGO,ALCISTA_NORMAL
CARDANO-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CARDANO-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_DEBIL
USDPHP-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPHP-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_FUERTE
CASINOS-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_FUERTE
SNDK-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SNDK-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_FUERTE
EURGBP-OTC|PUT|REACCIÓN_ZONA|RANGO|BAJISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,EURGBP-OTC,put,REACCIÓN_ZONA,RANGO,BAJISTA_DEBIL
RENDERUSD-OTC|CALL|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_FUERTE,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,RENDERUSD-OTC,call,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_FUERTE
CASINOS-OTC|CALL|REVERSIÓN|COMPRESION|BAJISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,call,REVERSIÓN,COMPRESION,BAJISTA_DEBIL
SUGAR-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_NORMAL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_NORMAL
USDMYR-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDMYR-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_DEBIL
USDPHP-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_DEBIL,1,0,1,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPHP-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_DEBIL
