nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REVERSIÓN_ESTRUCTURAL|CALL,22,15,7,68.18,2.54,FAVORABLE,MEDIA,59.17,44.48,73.86,True,22,62.5,57.14,85.71,28.57,23.21,3,1.0,NZDCHF-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA,ALCISTA_NORMAL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|CHOCH_ALCISTA+CHOCH_CON_PA_A_FAVOR+REVERSIÓN_ESTRUCTURAL,22,15,7,68.18,2.54,FAVORABLE,MEDIA,59.17,44.48,73.86,True,22,62.5,57.14,85.71,28.57,23.21,3,1.0,NZDCHF-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA,ALCISTA_NORMAL,,,,
CLAVE_ESPECIFICA,CLAVE_ESPECIFICA|UKOUSD-OTC|CALL|REVERSIÓN|RANGO|INDEFINIDA,22,14,8,63.64,2.02,FAVORABLE,MEDIA,56.79,41.98,71.59,True,22,50.0,71.43,71.43,21.43,21.43,3,1.0,UKOUSD-OTC,call,REVERSIÓN,RANGO,INDEFINIDA,,,,
CLAVE_ESPECIFICA,CLAVE_ESPECIFICA|AIG-OTC|CALL|REVERSIÓN|TENDENCIA|BAJISTA_NORMAL,22,12,10,54.55,0.0,NEUTRO,MEDIA,52.02,37.09,66.96,True,22,50.0,71.43,42.86,28.57,-7.14,2,0.667,AIG-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
CLAVE_ESPECIFICA,CLAVE_ESPECIFICA|LTCUSD-OTC|PUT|REVERSIÓN|RANGO|INDEFINIDA,22,12,10,54.55,0.0,NEUTRO,MEDIA,52.02,37.09,66.96,True,22,50.0,57.14,57.14,7.14,7.14,3,1.0,LTCUSD-OTC,put,REVERSIÓN,RANGO,INDEFINIDA,,,,
CLAVE_ESPECIFICA,CLAVE_ESPECIFICA|USDSGD-OTC|CALL|REVERSIÓN|RANGO|INDEFINIDA,22,10,12,45.45,-1.66,DEBIL,MEDIA,47.26,32.34,62.18,True,22,62.5,28.57,42.86,33.93,-19.64,2,0.667,USDSGD-OTC,call,REVERSIÓN,RANGO,INDEFINIDA,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|PUT|REVERSIÓN|TENDENCIA|ALCISTA_FUERTE,21,15,6,71.43,2.84,FAVORABLE,MEDIA,60.61,45.83,75.39,True,21,71.43,85.71,57.14,28.57,-14.29,3,1.0,NZDJPY-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_FUERTE,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN|ALCISTA_FUERTE,21,15,6,71.43,2.84,FAVORABLE,MEDIA,60.61,45.83,75.39,True,21,71.43,85.71,57.14,28.57,-14.29,3,1.0,NZDJPY-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_FUERTE,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|ALCISTA_FUERTE+PUT+REVERSIÓN+TENDENCIA,21,15,6,71.43,2.84,FAVORABLE,MEDIA,60.61,45.83,75.39,True,21,71.43,85.71,57.14,28.57,-14.29,3,1.0,NZDJPY-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_FUERTE,,,,
CLAVE_ESPECIFICA,CLAVE_ESPECIFICA|EURCAD-OTC|CALL|REVERSIÓN|TENDENCIA|BAJISTA_NORMAL,21,13,8,61.9,1.77,FAVORABLE,MEDIA,55.73,40.71,70.75,True,21,71.43,85.71,28.57,57.14,-42.86,2,0.667,EURCAD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|PUT|REACCIÓN_ZONA|TENDENCIA|INDEFINIDA,21,13,8,61.9,1.77,FAVORABLE,MEDIA,55.73,40.71,70.75,True,21,28.57,71.43,85.71,57.14,57.14,2,0.667,USDTHB-OTC,put,REACCIÓN_ZONA,TENDENCIA,INDEFINIDA,,,,
