tipo,activo,from,open,close,max,min,volume
binary,SNDK-OTC,1782036060,2316.164665,2323.036705,2324.646895,2307.878565,0
binary,SNDK-OTC,1782036120,2323.038495,2327.645375,2330.260925,2321.425095,0
binary,SNDK-OTC,1782036180,2327.634175,2329.231745,2336.715685,2320.995115,0
binary,SNDK-OTC,1782036240,2328.697645,2312.328205,2328.697645,2306.992215,0
binary,SNDK-OTC,1782036300,2311.324675,2309.722775,2319.111265,2309.585735,0
binary,SNDK-OTC,1782036360,2309.738945,2313.231615,2318.458935,2305.711335,0
binary,SNDK-OTC,1782036420,2312.964525,2330.060015,2330.060015,2306.753745,0
binary,SNDK-OTC,1782036480,2329.989495,2332.827895,2340.139155,2329.989495,0
binary,SNDK-OTC,1782036540,2332.604365,2330.184525,2341.903935,2330.184525,0
binary,SNDK-OTC,1782036600,2330.177565,2352.288635,2352.288635,2330.177565,0
binary,SNDK-OTC,1782036660,2352.275185,2354.123505,2354.146725,2340.223345,0
binary,SNDK-OTC,1782036720,2354.130875,2336.033055,2354.785635,2333.022545,0
binary,SNDK-OTC,1782036780,2336.020285,2316.970025,2336.020285,2307.572585,0
binary,SNDK-OTC,1782036840,2316.957715,2314.690125,2324.208415,2310.646545,0
binary,SNDK-OTC,1782036900,2314.698565,2319.740305,2322.404195,2310.933365,0
binary,SNDK-OTC,1782036960,2320.104695,2305.605985,2320.711415,2305.168495,0
binary,SNDK-OTC,1782037020,2305.774835,2299.657685,2305.784505,2292.588595,0
binary,SNDK-OTC,1782037080,2298.824525,2279.100665,2298.824525,2277.236095,0
binary,SNDK-OTC,1782037140,2279.107245,2275.483445,2282.718895,2270.916475,0
binary,SNDK-OTC,1782037200,2275.505465,2280.932255,2286.935155,2275.505465,0
binary,SNDK-OTC,1782037260,2280.358365,2279.636515,2289.313035,2278.212885,0
binary,SNDK-OTC,1782037320,2279.631655,2283.988935,2284.433145,2275.301685,0
binary,SNDK-OTC,1782037380,2283.978275,2298.369725,2298.599745,2280.742875,0
binary,SNDK-OTC,1782037440,2298.358825,2293.677695,2307.514325,2293.652135,0
binary,SNDK-OTC,1782037500,2293.682885,2294.809035,2304.478815,2289.795145,0
binary,SNDK-OTC,1782037560,2294.816235,2287.219825,2296.287375,2283.145425,0
binary,SNDK-OTC,1782037620,2287.220035,2293.335135,2296.878605,2284.940145,0
binary,SNDK-OTC,1782037680,2294.939985,2289.081155,2305.588575,2286.270475,0
binary,SNDK-OTC,1782037740,2291.404795,2279.829435,2291.546425,2274.989335,0
binary,SNDK-OTC,1782037800,2277.587575,2277.514465,2282.318245,2270.493245,0
binary,SNDK-OTC,1782037860,2277.967945,2272.013965,2281.018795,2269.191275,0
binary,SNDK-OTC,1782037920,2272.000535,2257.758415,2272.299145,2257.193035,0
binary,SNDK-OTC,1782037980,2257.771185,2260.520295,2261.776545,2253.436875,0
binary,SNDK-OTC,1782038040,2261.635595,2256.926915,2261.667075,2255.295445,0
binary,SNDK-OTC,1782038100,2256.931955,2250.050385,2259.465125,2244.260615,0
binary,SNDK-OTC,1782038160,2249.901005,2257.136505,2261.093815,2247.535815,0
binary,SNDK-OTC,1782038220,2257.720865,2254.717165,2259.535055,2250.323615,0
binary,SNDK-OTC,1782038280,2254.724215,2263.419525,2263.648915,2254.598375,0
binary,SNDK-OTC,1782038340,2263.425575,2255.395075,2264.014165,2250.748935,0
binary,SNDK-OTC,1782038400,2255.385395,2260.669855,2262.318145,2254.852145,0
binary,SNDK-OTC,1782038460,2260.868795,2269.202555,2270.271925,2252.220295,0
binary,SNDK-OTC,1782038520,2269.255655,2265.186505,2272.294435,2259.501845,0
binary,SNDK-OTC,1782038580,2265.181995,2266.589165,2266.661635,2250.073895,0
binary,SNDK-OTC,1782038640,2266.622915,2286.982705,2288.448695,2263.462645,0
binary,SNDK-OTC,1782038700,2286.983245,2291.837985,2303.073765,2286.890725,0
binary,SNDK-OTC,1782038760,2291.643925,2297.564685,2303.836175,2291.499635,0
binary,SNDK-OTC,1782038820,2297.561815,2311.788725,2312.428645,2295.038425,0
binary,SNDK-OTC,1782038880,2311.783705,2313.682045,2320.400445,2310.632235,0
binary,SNDK-OTC,1782038940,2314.049315,2309.544585,2319.149205,2306.554175,0
binary,SNDK-OTC,1782039000,2310.403985,2301.727785,2310.403985,2299.054475,0
binary,SNDK-OTC,1782039060,2301.745825,2317.980865,2319.837135,2301.054015,0
binary,SNDK-OTC,1782039120,2318.915655,2313.207605,2323.626595,2311.087295,0
binary,SNDK-OTC,1782039180,2313.207715,2301.321865,2313.977735,2296.475155,0
binary,SNDK-OTC,1782039240,2301.328645,2313.251295,2314.188555,2295.575685,0
binary,SNDK-OTC,1782039300,2313.267175,2307.384885,2315.114465,2299.562385,0
binary,SNDK-OTC,1782039360,2307.435315,2307.836495,2309.209545,2301.378765,0
binary,SNDK-OTC,1782039420,2307.824935,2298.311485,2310.041685,2288.928485,0
binary,SNDK-OTC,1782039480,2298.959655,2294.653225,2305.865035,2291.365865,0
binary,SNDK-OTC,1782039540,2294.658325,2309.766185,2314.268105,2293.196125,0
binary,SNDK-OTC,1782039600,2311.994915,2332.000155,2332.430095,2311.969725,0
binary,SNDK-OTC,1782039660,2331.427355,2350.760915,2351.480395,2331.427355,0
binary,SNDK-OTC,1782039720,2351.260195,2347.275845,2355.171065,2346.119715,0
binary,SNDK-OTC,1782039780,2347.202975,2359.876095,2359.876095,2344.925755,0
binary,SNDK-OTC,1782039840,2359.385265,2375.568035,2376.657855,2356.142175,0
binary,SNDK-OTC,1782039900,2375.586565,2378.149575,2378.150685,2364.676185,0
binary,SNDK-OTC,1782039960,2379.275155,2374.800055,2386.366085,2367.151845,0
binary,SNDK-OTC,1782040020,2374.219325,2377.373015,2380.491255,2368.289495,0
binary,SNDK-OTC,1782040080,2376.929865,2381.248185,2384.280105,2374.652955,0
binary,SNDK-OTC,1782040140,2381.677925,2377.864925,2389.066905,2376.240665,0
binary,SNDK-OTC,1782040200,2377.874565,2380.139575,2390.692075,2371.725185,0
binary,SNDK-OTC,1782040260,2380.125115,2399.668125,2399.668125,2376.543485,0
binary,SNDK-OTC,1782040320,2397.579865,2378.677155,2405.191635,2377.015405,0
binary,SNDK-OTC,1782040380,2379.576775,2385.613045,2389.914905,2375.841905,0
binary,SNDK-OTC,1782040440,2386.592395,2385.995465,2390.293805,2381.200205,0
binary,SNDK-OTC,1782040500,2385.789125,2377.915265,2391.685765,2377.915265,0
binary,SNDK-OTC,1782040560,2377.899315,2372.549805,2380.749415,2372.151335,0
binary,SNDK-OTC,1782040620,2372.536835,2370.315585,2377.136985,2367.036105,0
binary,SNDK-OTC,1782040680,2370.309495,2367.918385,2380.712325,2363.474715,0
binary,SNDK-OTC,1782040740,2367.909305,2361.926805,2373.368605,2360.058885,0
binary,SNDK-OTC,1782040800,2361.915455,2347.532835,2361.915455,2341.800935,0
binary,SNDK-OTC,1782040860,2347.517745,2345.647085,2350.491645,2338.543035,0
binary,SNDK-OTC,1782040920,2345.655965,2351.835595,2356.524005,2343.945905,0
binary,SNDK-OTC,1782040980,2351.819565,2356.955795,2358.788135,2350.008925,0
binary,SNDK-OTC,1782041040,2356.958905,2360.257305,2366.494285,2356.958905,0
binary,SNDK-OTC,1782041100,2360.255595,2364.612415,2367.009955,2354.995085,0
